epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,469.697,0.38716,0.3302,0.81975,0.99811,0.93939,0.94403,0.88794,0.39567,0.28142,0.78373,0.0005842,0.0005842,0.0005842
44,480.907,0.39009,0.37363,0.82426,0.99792,0.93939,0.94403,0.87968,0.39682,0.26806,0.78573,0.0005743,0.0005743,0.0005743
45,492.331,0.41188,0.33915,0.81659,0.99803,0.93939,0.94895,0.89721,0.38944,0.28827,0.78972,0.0005644,0.0005644,0.0005644
46,502.832,0.39476,0.33418,0.81925,0.99806,0.93939,0.95013,0.88848,0.38539,0.29793,0.77967,0.0005545,0.0005545,0.0005545
47,513.157,0.38611,0.33681,0.8052,0.99808,0.93939,0.94913,0.89754,0.3603,0.2718,0.77537,0.0005446,0.0005446,0.0005446
48,522.952,0.38585,0.32163,0.81978,0.99758,0.93939,0.94523,0.88046,0.39484,0.28757,0.78689,0.0005347,0.0005347,0.0005347
49,533.353,0.38647,0.32424,0.81697,0.99815,0.93939,0.95205,0.89871,0.41123,0.29579,0.78156,0.0005248,0.0005248,0.0005248
50,543.27,0.407,0.33051,0.82453,0.99804,0.93939,0.95648,0.91302,0.38826,0.29093,0.77346,0.0005149,0.0005149,0.0005149
51,553.298,0.37796,0.31519,0.81607,0.99755,0.93939,0.94779,0.88182,0.36347,0.26154,0.77536,0.000505,0.000505,0.000505
52,563.525,0.3775,0.31551,0.82127,0.99846,0.93939,0.95527,0.8977,0.36561,0.262,0.77418,0.0004951,0.0004951,0.0004951
53,574.118,0.36918,0.31162,0.82499,0.9983,0.93939,0.95606,0.90972,0.3969,0.27989,0.781,0.0004852,0.0004852,0.0004852
54,584.708,0.39579,0.32434,0.82168,0.99833,0.93939,0.95418,0.90587,0.39299,0.26001,0.77953,0.0004753,0.0004753,0.0004753
55,595.123,0.36219,0.29544,0.80434,0.99603,0.93939,0.9486,0.89511,0.38361,0.25432,0.77975,0.0004654,0.0004654,0.0004654
56,605.698,0.37111,0.30159,0.82057,0.99773,0.93939,0.95178,0.90131,0.38389,0.25251,0.77735,0.0004555,0.0004555,0.0004555
57,616.06,0.37286,0.29966,0.81805,0.99855,0.93939,0.95453,0.90008,0.37701,0.25515,0.78686,0.0004456,0.0004456,0.0004456
58,626.215,0.37679,0.30423,0.81087,0.9984,0.93939,0.95013,0.89061,0.37789,0.25272,0.7757,0.0004357,0.0004357,0.0004357
59,639.529,0.38759,0.29694,0.82647,0.9984,0.93939,0.94749,0.89219,0.36119,0.25987,0.77405,0.0004258,0.0004258,0.0004258
60,655.545,0.36535,0.2932,0.82011,0.99688,0.93939,0.94749,0.89335,0.37019,0.2629,0.77686,0.0004159,0.0004159,0.0004159
61,671.98,0.35543,0.29251,0.81374,1,0.93904,0.95233,0.89924,0.37051,0.25639,0.78118,0.000406,0.000406,0.000406
62,687.451,0.35935,0.29976,0.82094,0.99898,0.93939,0.95178,0.87806,0.39975,0.26206,0.78899,0.0003961,0.0003961,0.0003961
63,701.148,0.34631,0.27937,0.81431,0.99775,0.93939,0.95034,0.89074,0.36582,0.25682,0.77747,0.0003862,0.0003862,0.0003862
